date,value
1948-01-01,49984
1948-02-01,50500
1948-03-01,50338
1948-04-01,50734
1948-05-01,50713
1948-06-01,51152
1948-07-01,51366
1948-08-01,50894
1948-09-01,50648
1948-10-01,50761
1948-11-01,50793
1948-12-01,50756
1949-01-01,50385
1949-02-01,50186
1949-03-01,50035
1949-04-01,49836
1949-05-01,49485
1949-06-01,49370
1949-07-01,49169
1949-08-01,49793
1949-09-01,50287
1949-10-01,50455
1949-11-01,50512
1949-12-01,50466
1950-01-01,50570
1950-02-01,50694
1950-03-01,50612
1950-04-01,51319
1950-05-01,51372
1950-06-01,51767
1950-07-01,51875
1950-08-01,52549
1950-09-01,52583
1950-10-01,52432
1950-11-01,52534
1950-12-01,52669
1951-01-01,52808
1951-02-01,52923
1951-03-01,53543
1951-04-01,53167
1951-05-01,53436
1951-06-01,53091
1951-07-01,53555
1951-08-01,53204
1951-09-01,53155
1951-10-01,53374
1951-11-01,53137
1951-12-01,53432
1952-01-01,53312
1952-02-01,53442
1952-03-01,53440
1952-04-01,53384
1952-05-01,53861
1952-06-01,53690
1952-07-01,53637
1952-08-01,53616
1952-09-01,53984
1952-10-01,53769
1952-11-01,54239
1952-12-01,54593
1953-01-01,54958
1953-02-01,55421
1953-03-01,55590
1953-04-01,55082
1953-05-01,55082
1953-06-01,55095
1953-07-01,55130
1953-08-01,54832
1953-09-01,54708
1953-10-01,54797
1953-11-01,54393
1953-12-01,54048
1954-01-01,53951
1954-02-01,54073
1954-03-01,53791
1954-04-01,54043
1954-05-01,53698
1954-06-01,53630
1954-07-01,53421
1954-08-01,53766
1954-09-01,53829
1954-10-01,54028
1954-11-01,54423
1954-12-01,54268
1955-01-01,54640
1955-02-01,54873
1955-03-01,54722
1955-04-01,55152
1955-05-01,55307
1955-06-01,55538
1955-07-01,56075
1955-08-01,56222
1955-09-01,56131
1955-10-01,56263
1955-11-01,56602
1955-12-01,57031
1956-01-01,57163
1956-02-01,57061
1956-03-01,57190
1956-04-01,57154
1956-05-01,57486
1956-06-01,57485
1956-07-01,57480
1956-08-01,57692
1956-09-01,57704
1956-10-01,57838
1956-11-01,57799
1956-12-01,58104
1957-01-01,57842
1957-02-01,58132
1957-03-01,58441
1957-04-01,58211
1957-05-01,57986
1957-06-01,58194
1957-07-01,58139
1957-08-01,58061
1957-09-01,58393
1957-10-01,58171
1957-11-01,57983
1957-12-01,57885
1958-01-01,57389
1958-02-01,57244
1958-03-01,57170
1958-04-01,57029
1958-05-01,57227
1958-06-01,57220
1958-07-01,57220
1958-08-01,57339
1958-09-01,57728
1958-10-01,57912
1958-11-01,57899
1958-12-01,58028
1959-01-01,58387
1959-02-01,58255
1959-03-01,58590
1959-04-01,58875
1959-05-01,58907
1959-06-01,59137
1959-07-01,59447
1959-08-01,59402
1959-09-01,59323
1959-10-01,59556
1959-11-01,59050
1959-12-01,59883
1960-01-01,59889
1960-02-01,60177
1960-03-01,59714
1960-04-01,60488
1960-05-01,60698
1960-06-01,60752
1960-07-01,60367
1960-08-01,60375
1960-09-01,60512
1960-10-01,60196
1960-11-01,60596
1960-12-01,60156
1961-01-01,60354
1961-02-01,60116
1961-03-01,60444
1961-04-01,60337
1961-05-01,60350
1961-06-01,60773
1961-07-01,60455
1961-08-01,60486
1961-09-01,60520
1961-10-01,60716
1961-11-01,60991
1961-12-01,60908
1962-01-01,61014
1962-02-01,61249
1962-03-01,61336
1962-04-01,61363
1962-05-01,61724
1962-06-01,61727
1962-07-01,61643
1962-08-01,62102
1962-09-01,62325
1962-10-01,62298
1962-11-01,62016
1962-12-01,62300
1963-01-01,62190
1963-02-01,62372
1963-03-01,62655
1963-04-01,62972
1963-05-01,62886
1963-06-01,63007
1963-07-01,63211
1963-08-01,63304
1963-09-01,63524
1963-10-01,63592
1963-11-01,63573
1963-12-01,63584
1964-01-01,63724
1964-02-01,64188
1964-03-01,64397
1964-04-01,64942
1964-05-01,65028
1964-06-01,64662
1964-07-01,64808
1964-08-01,64890
1964-09-01,64959
1964-10-01,65032
1964-11-01,65239
1964-12-01,65492
1965-01-01,65726
1965-02-01,65805
1965-03-01,66121
1965-04-01,66209
1965-05-01,66310
1965-06-01,66581
1965-07-01,67070
1965-08-01,67007
1965-09-01,67015
1965-10-01,67277
1965-11-01,67631
1965-12-01,67903
1966-01-01,68121
1966-02-01,68056
1966-03-01,68119
1966-04-01,68402
1966-05-01,68567
1966-06-01,68808
1966-07-01,68940
1966-08-01,69225
1966-09-01,69306
1966-10-01,69489
1966-11-01,69895
1966-12-01,69823
1967-01-01,69781
1967-02-01,69883
1967-03-01,69682
1967-04-01,70134
1967-05-01,70186
1967-06-01,70589
1967-07-01,70687
1967-08-01,70804
1967-09-01,71003
1967-10-01,71043
1967-11-01,71192
1967-12-01,71397
1968-01-01,70792
1968-02-01,71270
1968-03-01,71475
1968-04-01,71686
1968-05-01,72293
1968-06-01,72376
1968-07-01,72267
1968-08-01,72307
1968-09-01,72414
1968-10-01,72483
1968-11-01,72736
1968-12-01,73032
1969-01-01,73101
1969-02-01,73557
1969-03-01,73699
1969-04-01,73894
1969-05-01,73706
1969-06-01,74217
1969-07-01,74411
1969-08-01,74637
1969-09-01,74699
1969-10-01,74928
1969-11-01,75064
1969-12-01,75331
1970-01-01,75358
1970-02-01,75259
1970-03-01,75364
1970-04-01,75362
1970-05-01,75017
1970-06-01,74858
1970-07-01,75209
1970-08-01,75206
1970-09-01,75047
1970-10-01,75348
1970-11-01,75278
1970-12-01,75214
1971-01-01,75471
1971-02-01,75412
1971-03-01,75232
1971-04-01,75413
1971-05-01,75690
1971-06-01,75423
1971-07-01,75919
1971-08-01,76144
1971-09-01,76322
1971-10-01,76513
1971-11-01,76887
1971-12-01,77100
1972-01-01,77593
1972-02-01,77750
1972-03-01,78135
1972-04-01,78273
1972-05-01,78475
1972-06-01,78681
1972-07-01,78769
1972-08-01,78975
1972-09-01,78975
1972-10-01,78982
1972-11-01,79473
1972-12-01,79804
1973-01-01,79705
1973-02-01,80497
1973-03-01,80983
1973-04-01,81152
1973-05-01,81272
1973-06-01,81676
1973-07-01,81759
1973-08-01,81779
1973-09-01,82146
1973-10-01,82563
1973-11-01,82727
1973-12-01,82743
1974-01-01,82799
1974-02-01,82930
1974-03-01,83093
1974-04-01,83087
1974-05-01,83362
1974-06-01,83555
1974-07-01,83713
1974-08-01,83608
1974-09-01,83591
1974-10-01,83564
1974-11-01,83221
1974-12-01,82783
1975-01-01,82226
1975-02-01,81895
1975-03-01,81829
1975-04-01,81874
1975-05-01,81891
1975-06-01,81987
1975-07-01,82437
1975-08-01,82805
1975-09-01,82771
1975-10-01,82973
1975-11-01,83125
1975-12-01,83406
1976-01-01,84013
1976-02-01,84368
1976-03-01,84689
1976-04-01,84978
1976-05-01,85427
1976-06-01,85253
1976-07-01,85735
1976-08-01,85843
1976-09-01,85895
1976-10-01,85958
1976-11-01,86371
1976-12-01,86552
1977-01-01,86743
1977-02-01,87120
1977-03-01,87596
1977-04-01,87958
1977-05-01,88322
1977-06-01,88619
1977-07-01,88837
1977-08-01,89181
1977-09-01,89501
1977-10-01,89780
1977-11-01,90386
1977-12-01,90785
1978-01-01,90950
1978-02-01,91199
1978-03-01,91404
1978-04-01,92045
1978-05-01,92444
1978-06-01,92860
1978-07-01,92649
1978-08-01,93030
1978-09-01,93270
1978-10-01,93724
1978-11-01,94201
1978-12-01,94185
1979-01-01,94643
1979-02-01,94956
1979-03-01,95112
1979-04-01,94812
1979-05-01,95059
1979-06-01,95348
1979-07-01,95671
1979-08-01,95402
1979-09-01,95969
1979-10-01,96079
1979-11-01,96138
1979-12-01,96533
1980-01-01,96563
1980-02-01,96598
1980-03-01,96295
1980-04-01,95907
1980-05-01,95563
1980-06-01,95386
1980-07-01,95477
1980-08-01,95590
1980-09-01,95634
1980-10-01,95945
1980-11-01,96149
1980-12-01,96142
1981-01-01,96526
1981-02-01,96846
1981-03-01,97206
1981-04-01,97527
1981-05-01,97679
1981-06-01,96964
1981-07-01,97397
1981-08-01,97310
1981-09-01,96703
1981-10-01,96966
1981-11-01,96792
1981-12-01,96418
1982-01-01,96299
1982-02-01,96387
1982-03-01,96300
1982-04-01,96225
1982-05-01,96682
1982-06-01,96212
1982-07-01,96091
1982-08-01,96225
1982-09-01,96119
1982-10-01,95726
1982-11-01,95602
1982-12-01,95618
1983-01-01,95722
1983-02-01,95707
1983-03-01,95819
1983-04-01,96219
1983-05-01,96314
1983-06-01,97171
1983-07-01,97727
1983-08-01,98106
1983-09-01,98669
1983-10-01,98736
1983-11-01,99438
1983-12-01,99664
1984-01-01,99908
1984-02-01,100471
1984-03-01,100734
1984-04-01,101045
1984-05-01,101850
1984-06-01,102208
1984-07-01,102091
1984-08-01,101877
1984-09-01,102097
1984-10-01,102444
1984-11-01,102578
1984-12-01,102838
1985-01-01,102985
1985-02-01,103238
1985-03-01,103739
1985-04-01,103630
1985-05-01,103652
1985-06-01,103344
1985-07-01,103664
1985-08-01,103974
1985-09-01,104593
1985-10-01,104796
1985-11-01,104945
1985-12-01,105075
1986-01-01,105600
1986-02-01,105397
1986-03-01,105637
1986-04-01,105799
1986-05-01,105939
1986-06-01,106383
1986-07-01,106669
1986-08-01,106933
1986-09-01,106914
1986-10-01,107145
1986-11-01,107255
1986-12-01,107580
1987-01-01,107810
1987-02-01,108049
1987-03-01,108194
1987-04-01,108548
1987-05-01,109089
1987-06-01,109030
1987-07-01,109399
1987-08-01,109945
1987-09-01,109720
1987-10-01,110063
1987-11-01,110360
1987-12-01,110580
1988-01-01,110769
1988-02-01,111026
1988-03-01,110868
1988-04-01,111426
1988-05-01,111171
1988-06-01,111816
1988-07-01,112000
1988-08-01,112163
1988-09-01,112191
1988-10-01,112407
1988-11-01,112859
1988-12-01,112910
1989-01-01,113421
1989-02-01,113542
1989-03-01,113824
1989-04-01,113935
1989-05-01,113974
1989-06-01,114350
1989-07-01,114245
1989-08-01,114371
1989-09-01,114135
1989-10-01,114366
1989-11-01,114780
1989-12-01,114642
1990-01-01,115871
1990-02-01,115871
1990-03-01,115943
1990-04-01,115621
1990-05-01,115885
1990-06-01,115738
1990-07-01,115618
1990-08-01,115605
1990-09-01,115318
1990-10-01,115266
1990-11-01,115117
1990-12-01,114996
1991-01-01,114732
1991-02-01,114485
1991-03-01,114475
1991-04-01,114868
1991-05-01,114165
1991-06-01,114339
1991-07-01,114249
1991-08-01,114171
1991-09-01,114609
1991-10-01,114511
1991-11-01,114474
1991-12-01,114320
1992-01-01,114823
1992-02-01,114514
1992-03-01,114908
1992-04-01,115181
1992-05-01,115162
1992-06-01,115122
1992-07-01,115428
1992-08-01,115547
1992-09-01,115446
1992-10-01,115374
1992-11-01,115669
1992-12-01,115738
1993-01-01,115853
1993-02-01,116150
1993-03-01,116423
1993-04-01,116400
1993-05-01,117015
1993-06-01,117182
1993-07-01,117341
1993-08-01,117830
1993-09-01,117380
1993-10-01,117739
1993-11-01,118012
1993-12-01,118348
1994-01-01,118664
1994-02-01,118747
1994-03-01,118576
1994-04-01,118862
1994-05-01,119455
1994-06-01,119335
1994-07-01,119373
1994-08-01,119891
1994-09-01,120257
1994-10-01,120622
1994-11-01,120942
1994-12-01,121144
1995-01-01,121144
1995-02-01,121308
1995-03-01,121321
1995-04-01,121379
1995-05-01,121072
1995-06-01,121061
1995-07-01,121437
1995-08-01,121478
1995-09-01,121848
1995-10-01,121950
1995-11-01,121850
1995-12-01,121736
1996-01-01,121642
1996-02-01,122092
1996-03-01,122373
1996-04-01,122588
1996-05-01,122771
1996-06-01,123178
1996-07-01,123514
1996-08-01,123777
1996-09-01,124088
1996-10-01,124427
1996-11-01,124415
1996-12-01,124415
1997-01-01,124849
1997-02-01,124945
1997-03-01,125472
1997-04-01,125681
1997-05-01,126027
1997-06-01,126003
1997-07-01,126400
1997-08-01,126651
1997-09-01,126627
1997-10-01,126867
1997-11-01,127267
1997-12-01,127274
1998-01-01,127389
1998-02-01,127522
1998-03-01,127650
1998-04-01,127852
1998-05-01,127959
1998-06-01,127874
1998-07-01,127913
1998-08-01,127970
1998-09-01,128399
1998-10-01,128389
1998-11-01,128897
1998-12-01,129320
1999-01-01,129802
1999-02-01,129647
1999-03-01,129656
1999-04-01,129615
1999-05-01,129937
1999-06-01,129982
1999-07-01,130146
1999-08-01,130366
1999-09-01,130434
1999-10-01,130758
1999-11-01,130989
1999-12-01,131257
2000-01-01,133863
2000-02-01,133912
2000-03-01,134022
2000-04-01,134806
2000-05-01,134144
2000-06-01,134528
2000-07-01,134196
2000-08-01,134311
2000-09-01,134489
2000-10-01,134808
2000-11-01,134921
2000-12-01,135194
2001-01-01,135304
2001-02-01,135291
2001-03-01,135372
2001-04-01,135036
2001-05-01,134735
2001-06-01,134755
2001-07-01,134858
2001-08-01,133944
2001-09-01,134558
2001-10-01,134098
2001-11-01,133955
2001-12-01,133751
2002-01-01,133233
2002-02-01,134127
2002-03-01,133816
2002-04-01,133833
2002-05-01,134278
2002-06-01,134135
2002-07-01,134107
2002-08-01,134593
2002-09-01,135102
2002-10-01,134580
2002-11-01,134171
2002-12-01,134071
2003-01-01,135045
2003-02-01,135306
2003-03-01,135232
2003-04-01,135561
2003-05-01,135370
2003-06-01,135419
2003-07-01,135242
2003-08-01,135200
2003-09-01,135355
2003-10-01,135571
2003-11-01,136003
2003-12-01,136145
2004-01-01,136228
2004-02-01,136362
2004-03-01,136302
2004-04-01,136474
2004-05-01,136556
2004-06-01,136748
2004-07-01,137354
2004-08-01,137230
2004-09-01,137323
2004-10-01,137598
2004-11-01,137978
2004-12-01,137947
2005-01-01,138111
2005-02-01,138267
2005-03-01,138462
2005-04-01,138992
2005-05-01,139379
2005-06-01,139276
2005-07-01,139789
2005-08-01,140277
2005-09-01,140276
2005-10-01,140435
2005-11-01,140299
2005-12-01,140635
2006-01-01,140933
2006-02-01,141254
2006-03-01,141604
2006-04-01,141388
2006-05-01,141859
2006-06-01,142019
2006-07-01,142066
2006-08-01,142440
2006-09-01,142661
2006-10-01,143222
2006-11-01,143350
2006-12-01,143716
2007-01-01,143785
2007-02-01,143741
2007-03-01,144153
2007-04-01,143385
2007-05-01,143773
2007-06-01,144112
2007-07-01,144041
2007-08-01,143865
2007-09-01,144148
2007-10-01,143926
2007-11-01,144413
2007-12-01,144018
2008-01-01,144168
2008-02-01,143943
2008-03-01,143871
2008-04-01,143874
2008-05-01,143737
2008-06-01,143629
2008-07-01,143519
2008-08-01,143086
2008-09-01,142796
2008-10-01,142689
2008-11-01,141962
2008-12-01,141139
2009-01-01,140029
2009-02-01,139493
2009-03-01,138664
2009-04-01,138437
2009-05-01,138036
2009-06-01,137841
2009-07-01,137819
2009-08-01,137371
2009-09-01,136734
2009-10-01,136483
2009-11-01,136640
2009-12-01,135904
2010-01-01,136384
2010-02-01,136327
2010-03-01,136579
2010-04-01,136958
2010-05-01,136984
2010-06-01,136936
2010-07-01,136927
2010-08-01,137193
2010-09-01,137220
2010-10-01,136893
2010-11-01,136915
2010-12-01,137123
2011-01-01,137022
2011-02-01,137160
2011-03-01,137434
2011-04-01,137420
2011-05-01,137356
2011-06-01,137061
2011-07-01,137204
2011-08-01,137507
2011-09-01,137963
2011-10-01,138285
2011-11-01,138571
2011-12-01,138568
2012-01-01,139382
2012-02-01,139718
2012-03-01,139800
2012-04-01,139682
2012-05-01,139915
2012-06-01,140160
2012-07-01,140013
2012-08-01,140107
2012-09-01,140912
2012-10-01,141387
2012-11-01,141224
2012-12-01,141284
2013-01-01,141124
2013-02-01,141299
2013-03-01,141192
2013-04-01,141557
2013-05-01,141758
2013-06-01,141896
2013-07-01,142079
2013-08-01,142154
2013-09-01,142304
2013-10-01,141411
2013-11-01,142463
2013-12-01,142561
2014-01-01,142852
2014-02-01,143024
2014-03-01,143393
2014-04-01,143512
2014-05-01,143778
2014-06-01,144084
2014-07-01,144188
2014-08-01,144303
2014-09-01,144502
2014-10-01,144989
2014-11-01,145113
2014-12-01,145229
2015-01-01,145614
2015-02-01,145626
2015-03-01,145458
2015-04-01,146069
2015-05-01,146466
2015-06-01,146258
2015-07-01,146368
2015-08-01,146852
2015-09-01,146588
2015-10-01,146845
2015-11-01,147200
2015-12-01,147674
2016-01-01,148228
2016-02-01,148460
2016-03-01,148439
2016-04-01,148417
2016-05-01,148614
2016-06-01,148699
2016-07-01,149055
2016-08-01,149242
2016-09-01,149500
2016-10-01,149511
2016-11-01,149730
2016-12-01,149817
2017-01-01,149725
2017-02-01,149929
2017-03-01,150377
2017-04-01,150527
2017-05-01,150519
2017-06-01,150879
2017-07-01,151161
2017-08-01,151240
2017-09-01,152122
2017-10-01,151244
2017-11-01,151384
2017-12-01,151450
2018-01-01,151976
2018-02-01,152655
2018-03-01,152722
2018-04-01,152996
2018-05-01,153310
2018-06-01,153405
2018-07-01,153603
2018-08-01,153274
2018-09-01,153598
2018-10-01,154033
2018-11-01,154112
2018-12-01,154281
2019-01-01,153954
2019-02-01,154330
2019-03-01,154282
2019-04-01,154363
2019-05-01,154466
2019-06-01,154920
2019-07-01,155131
2019-08-01,155535
2019-09-01,155931
2019-10-01,156073
2019-11-01,156201
2019-12-01,156206
